iter	Passed	Remaining
0	167	166933
1	167	83752
2	168	56111
3	170	42446
4	173	34474
5	175	29009
6	176	25066
7	178	22107
8	179	19770
9	180	17898
10	182	16376
11	183	15082
12	184	13990
13	185	13068
14	187	12304
15	188	11589
16	189	10943
17	190	10375
18	190	9851
19	191	9391
20	192	8984
21	193	8608
22	194	8262
23	195	7938
24	195	7638
25	196	7355
26	197	7101
27	197	6861
28	198	6643
29	199	6441
30	200	6266
31	201	6089
32	201	5917
33	202	5755
34	203	5599
35	203	5454
36	204	5321
37	205	5199
38	206	5080
39	206	4962
40	207	4847
41	207	4740
42	208	4639
43	209	4544
44	209	4450
45	210	4359
46	210	4275
47	211	4192
48	211	4113
49	212	4037
50	212	3963
51	213	3892
52	214	3833
53	215	3771
54	215	3709
55	216	3649
56	217	3590
57	217	3534
58	218	3480
59	218	3426
60	219	3375
61	220	3331
62	221	3287
63	221	3242
64	222	3197
65	223	3162
66	224	3120
67	224	3079
68	225	3038
69	225	2998
70	226	2960
71	226	2922
72	227	2886
73	227	2850
74	228	2815
75	229	2787
76	230	2759
77	230	2728
78	231	2697
79	231	2666
80	232	2636
81	232	2607
82	233	2575
83	233	2548
84	234	2521
85	235	2502
86	236	2479
87	236	2454
88	237	2429
89	238	2406
90	238	2383
91	239	2361
92	239	2339
93	240	2317
94	240	2294
95	241	2273
96	241	2252
97	242	2231
98	242	2210
99	243	2193
100	244	2179
101	245	2161
102	246	2142
103	246	2124
104	247	2105
105	247	2088
106	248	2070
107	248	2053
108	249	2039
109	250	2023
110	250	2007
111	251	1992
112	251	1977
113	252	1962
114	252	1946
115	254	1935
116	254	1920
117	255	1906
118	255	1892
119	256	1877
120	256	1863
121	256	1849
122	257	1836
123	258	1822
124	259	1814
125	259	1803
126	260	1791
127	261	1779
128	261	1766
129	262	1754
130	262	1742
131	263	1731
132	263	1720
133	264	1711
134	265	1702
135	266	1692
136	267	1682
137	267	1671
138	268	1661
139	268	1650
140	269	1639
141	269	1628
142	270	1618
143	270	1609
144	271	1600
145	271	1590
146	272	1581
147	273	1572
148	274	1566
149	274	1557
150	275	1549
151	276	1540
152	276	1531
153	277	1522
154	277	1513
155	278	1505
156	278	1496
157	279	1488
158	280	1482
159	280	1474
160	281	1464
161	282	1458
162	282	1450
163	283	1443
164	283	1435
165	284	1428
166	284	1420
167	285	1413
168	285	1405
169	286	1398
170	286	1391
171	287	1383
172	288	1378
173	289	1373
174	290	1367
175	290	1360
176	291	1353
177	291	1347
178	292	1340
179	292	1333
180	293	1327
181	293	1321
182	294	1315
183	295	1310
184	296	1304
185	296	1298
186	297	1293
187	297	1286
188	298	1280
189	299	1274
190	299	1268
191	299	1262
192	300	1256
193	301	1250
194	301	1245
195	302	1239
196	302	1233
197	303	1231
198	304	1226
199	305	1220
200	305	1215
201	306	1210
202	307	1205
203	307	1200
204	308	1195
205	309	1191
206	310	1187
207	310	1183
208	311	1178
209	312	1173
210	313	1171
211	313	1166
212	314	1161
213	314	1156
214	315	1151
215	315	1146
216	316	1141
217	316	1136
218	317	1131
219	317	1127
220	318	1123
221	319	1119
222	320	1115
223	320	1110
224	321	1105
225	321	1101
226	322	1096
227	322	1092
228	323	1088
229	323	1084
230	324	1079
231	325	1076
232	325	1072
233	326	1068
234	326	1064
235	327	1060
236	327	1055
237	328	1051
238	328	1047
239	329	1043
240	330	1039
241	330	1035
242	331	1031
243	331	1027
244	332	1023
245	332	1019
246	333	1016
247	334	1013
248	334	1009
249	335	1005
250	335	1002
251	336	998
252	336	994
253	337	991
254	337	987
255	338	983
256	338	979
257	339	976
258	340	973
259	340	970
260	341	967
261	342	964
262	342	960
263	343	957
264	343	953
265	344	950
266	344	946
267	345	943
268	345	939
269	346	936
270	346	932
271	347	929
272	348	927
273	348	924
274	349	921
275	349	917
276	350	914
277	350	911
278	351	908
279	351	905
280	352	901
281	353	898
282	353	896
283	354	893
284	355	890
285	355	887
286	356	884
287	356	881
288	357	878
289	357	875
290	358	872
291	358	869
292	359	866
293	359	863
294	360	860
295	360	857
296	361	854
297	361	851
298	362	849
299	362	846
300	363	844
301	364	842
302	365	839
303	365	837
304	366	834
305	366	831
306	367	829
307	367	826
308	368	824
309	369	821
310	369	818
311	370	816
312	370	813
313	371	810
314	371	807
315	372	805
316	372	802
317	373	800
318	373	797
319	374	794
320	374	792
321	375	789
322	375	787
323	376	784
324	376	782
325	377	779
326	377	777
327	378	776
328	379	774
329	380	771
330	380	769
331	381	767
